"catégorie du classeur";"dépôt initial";"type détecté";"nom du skill ou plugin";"déjà installé";"version installée";"version disponible";"dépôt officiel";"alternative recommandée";"dernière activité";"licence";"compatibilité Codex";"compatibilité Windows";"niveau de risque";"décision";"justification";"commande d’installation";"commande de désinstallation ou retour arrière"
"GEII";"arduino/Arduino";"APPLICATION";"IDE et outils Arduino historiques";"non détecté";"—";"commit a0df6e0e83b6";"https://github.com/arduino/Arduino";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2025-10-11";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"arduino/ArduinoCore-avr";"BIBLIOTHEQUE";"Cœur AVR officiel Arduino";"non détecté";"—";"commit 11b9130371e8";"https://github.com/arduino/ArduinoCore-avr";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-01";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"espressif/arduino-esp32";"BIBLIOTHEQUE";"Arduino pour ESP32";"non détecté";"—";"commit 701c6ff51b30";"https://github.com/espressif/arduino-esp32";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"espressif/esp-idf";"BIBLIOTHEQUE";"Framework officiel ESP32";"non détecté";"—";"commit 8bf9c476cfa9";"https://github.com/espressif/esp-idf";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"platformio/platformio-core";"BIBLIOTHEQUE";"Écosystème de développement embarqué";"non détecté";"—";"commit a0efc7f48566";"https://github.com/platformio/platformio-core";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"wokwi/wokwi-elements";"BIBLIOTHEQUE";"Composants de simulation Wokwi";"non détecté";"—";"commit 882890875ba8";"https://github.com/wokwi/wokwi-elements";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"micropython/micropython";"BIBLIOTHEQUE";"Python sur microcontrôleurs";"non détecté";"—";"commit f6b148acde1a";"https://github.com/micropython/micropython";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"adafruit/circuitpython";"BIBLIOTHEQUE";"Python embarqué pédagogique";"non détecté";"—";"commit 3b5efa33f2e1";"https://github.com/adafruit/circuitpython";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"zephyrproject-rtos/zephyr";"BIBLIOTHEQUE";"Système temps réel embarqué";"non détecté";"—";"commit 3841a72452ec";"https://github.com/zephyrproject-rtos/zephyr";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"FreeRTOS/FreeRTOS";"BIBLIOTHEQUE";"Système temps réel industriel";"non détecté";"—";"commit c73a397a418b";"https://github.com/FreeRTOS/FreeRTOS";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-09";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"stm32duino/Arduino_Core_STM32";"BIBLIOTHEQUE";"Arduino pour STM32";"non détecté";"—";"commit c3e6b829cce2";"https://github.com/stm32duino/Arduino_Core_STM32";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"libopencm3/libopencm3";"BIBLIOTHEQUE";"Bibliothèque bas niveau ARM";"non détecté";"—";"commit 16e8b31727f5";"https://github.com/libopencm3/libopencm3";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-02";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"RIOT-OS/RIOT";"BIBLIOTHEQUE";"OS pour objets connectés";"non détecté";"—";"commit 9f611667d2ba";"https://github.com/RIOT-OS/RIOT";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"ARMmbed/mbed-os";"ABANDONNE";"OS embarqué ARM";"non détecté";"—";"commit d723bf9e5541";"https://github.com/ARMmbed/mbed-os";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2024-10-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"GEII";"hathach/tinyusb";"BIBLIOTHEQUE";"Pile USB embarquée";"non détecté";"—";"commit ac595bc5cf64";"https://github.com/hathach/tinyusb";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"lvgl/lvgl";"BIBLIOTHEQUE";"Interface graphique embarquée";"non détecté";"—";"commit 40fb6ba26c5e";"https://github.com/lvgl/lvgl";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"FastLED/FastLED";"BIBLIOTHEQUE";"Pilotage de LED adressables";"non détecté";"—";"commit 7f4ac4a366c8";"https://github.com/FastLED/FastLED";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"adafruit/Adafruit_Sensor";"ABANDONNE";"Interface unifiée pour capteurs";"non détecté";"—";"commit 0a9127a1e886";"https://github.com/adafruit/Adafruit_Sensor";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2025-01-06";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"GEII";"sparkfun/SparkFun_Sensor_Kit_Example_Code";"BIBLIOTHEQUE";"Exemples de capteurs";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/sparkfun/SparkFun_Sensor_Kit_Example_Code";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"ros2/ros2";"BIBLIOTHEQUE";"Robot Operating System 2";"non détecté";"—";"commit 32b5e98532f9";"https://github.com/ros2/ros2";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-05-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"PX4/PX4-Autopilot";"APPLICATION";"Autopilote de drones";"non détecté";"—";"commit f0ee79d34b53";"https://github.com/PX4/PX4-Autopilot";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"ArduPilot/ardupilot";"APPLICATION";"Autopilote open source";"non détecté";"—";"commit 91f5a900f12e";"https://github.com/ArduPilot/ardupilot";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"thiagoralves/OpenPLC_v3";"ABANDONNE";"Automate programmable open source";"non détecté";"—";"commit b5d41356dab4";"https://github.com/thiagoralves/OpenPLC_v3";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-04-04";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"";""
"GEII";"open62541/open62541";"BIBLIOTHEQUE";"OPC UA open source";"non détecté";"—";"commit ed4166614e18";"https://github.com/open62541/open62541";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"eclipse-milo/milo";"BIBLIOTHEQUE";"OPC UA en Java";"non détecté";"—";"commit 5f3f6da2a5ea";"https://github.com/eclipse-milo/milo";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"node-red/node-red";"APPLICATION";"Programmation visuelle de flux";"non détecté";"—";"commit 72dc7d2af44c";"https://github.com/node-red/node-red";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"grafana/grafana";"APPLICATION";"Tableaux de bord industriels";"non détecté";"—";"commit 5a12eb26131f";"https://github.com/grafana/grafana";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"influxdata/influxdb";"APPLICATION";"Base de séries temporelles";"non détecté";"—";"commit d7834110b368";"https://github.com/influxdata/influxdb";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-06-17";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"eclipse-mosquitto/mosquitto";"BIBLIOTHEQUE";"Broker MQTT";"non détecté";"—";"commit 7b8aba105b77";"https://github.com/eclipse-mosquitto/mosquitto";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-06-30";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"thingsboard/thingsboard";"APPLICATION";"Plateforme IoT";"non détecté";"—";"commit d4329f3b7ca0";"https://github.com/thingsboard/thingsboard";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"home-assistant/core";"APPLICATION";"Automatisation domotique";"non détecté";"—";"commit 77ee9e2ca53d";"https://github.com/home-assistant/core";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"arendst/Tasmota";"APPLICATION";"Firmware pour objets ESP";"non détecté";"—";"commit a1639507d121";"https://github.com/arendst/Tasmota";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"esphome/esphome";"APPLICATION";"Configuration d’ESP par YAML";"non détecté";"—";"commit 4d3d06959ba5";"https://github.com/esphome/esphome";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"openhab/openhab-core";"BIBLIOTHEQUE";"Domotique open source";"non détecté";"—";"commit fef0487f43d2";"https://github.com/openhab/openhab-core";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"qelectrotech/qelectrotech-source-mirror";"APPLICATION";"Schémas électriques";"non détecté";"—";"commit 8884e79133c1";"https://github.com/qelectrotech/qelectrotech-source-mirror";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"KiCad/kicad-source-mirror";"APPLICATION";"Conception de circuits imprimés";"non détecté";"—";"commit 6aa0440473a6";"https://github.com/KiCad/kicad-source-mirror";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"LibrePCB/LibrePCB";"APPLICATION";"CAO électronique";"non détecté";"—";"commit 56bf56d8f187";"https://github.com/LibrePCB/LibrePCB";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-12";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"ngspice/ngspice";"ABANDONNE";"Simulation SPICE";"non détecté";"—";"commit 032b1c32c4db";"https://github.com/ngspice/ngspice";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2015-03-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"GEII";"sigrokproject/libsigrok";"BIBLIOTHEQUE";"Analyse de signaux";"non détecté";"—";"commit 0bc2487778e6";"https://github.com/sigrokproject/libsigrok";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2025-11-20";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"sigrokproject/pulseview";"APPLICATION";"Interface d’analyse logique";"non détecté";"—";"commit af02198741b4";"https://github.com/sigrokproject/pulseview";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2025-11-10";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"gnuradio/gnuradio";"APPLICATION";"Radio logicielle et traitement du signal";"non détecté";"—";"commit f06564b3c09c";"https://github.com/gnuradio/gnuradio";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-06-05";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"jgaeddert/liquid-dsp";"BIBLIOTHEQUE";"Traitement numérique du signal";"non détecté";"—";"commit 255a71504085";"https://github.com/jgaeddert/liquid-dsp";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-12";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"verilator/verilator";"APPLICATION";"Simulation Verilog rapide";"non détecté";"—";"commit 5ead758f289e";"https://github.com/verilator/verilator";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"YosysHQ/yosys";"APPLICATION";"Synthèse logique open source";"non détecté";"—";"commit 9914b6fa252e";"https://github.com/YosysHQ/yosys";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"YosysHQ/nextpnr";"APPLICATION";"Placement-routage FPGA";"non détecté";"—";"commit 261152be8a4e";"https://github.com/YosysHQ/nextpnr";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"cocotb/cocotb";"BIBLIOTHEQUE";"Tests FPGA en Python";"non détecté";"—";"commit b94257ce9246";"https://github.com/cocotb/cocotb";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"YosysHQ/sby";"BIBLIOTHEQUE";"Vérification formelle FPGA";"non détecté";"—";"commit 8f8833c6176b";"https://github.com/YosysHQ/sby";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"The-OpenROAD-Project/OpenLane";"APPLICATION";"Conception de circuits intégrés";"non détecté";"—";"commit ff5509f65b17";"https://github.com/The-OpenROAD-Project/OpenLane";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2025-09-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"renode/renode";"APPLICATION";"Simulation de systèmes embarqués";"non détecté";"—";"commit a3e540721455";"https://github.com/renode/renode";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"GEII";"MarlinFirmware/Marlin";"APPLICATION";"Firmware d’imprimantes 3D";"non détecté";"—";"commit f44cb948c748";"https://github.com/MarlinFirmware/Marlin";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés";"2026-07-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"moodle/moodle";"APPLICATION";"Plateforme LMS de référence";"non détecté";"—";"commit 23f47c2e4349";"https://github.com/moodle/moodle";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"openedx/edx-platform";"APPLICATION";"Plateforme de cours en ligne";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/openedx/openedx-platform";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
