code;niveau;competence;theme;formulation;socle;chemin;nb_fichiers;sequence;qcm;projet;synthese;evaluation;correction;situation_declenchante;problematique;qualite;anomalies;accessibilite;medias_licences;croisement;statut;preuves_manquantes
5e_C7.4;5e;C7;3;Choisir une source d’énergie parmi plusieurs proposées et une forme d’énergie possible.;D3, D4, D5;theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.4;13;oui;oui;non;oui;oui;oui;oui;oui;"Lot « L'indicateur du hall : de quoi va-t-il vivre » : 2 seances de 55 min pour 95 min d'activites, BANC D'ENERGIE original integre a la page (cinq sources, consommation calculee ligne par ligne, autonomie). Le pivot de la seance est un piege verifiable : le panneau solaire suffit SUR LE PAPIER (3,7 Wh recoltes pour 2,85 consommes) et ne marche pas, parce qu'il n'y a pas de soleil dans un hall ; le REFAIRE deplace le meme objet sur le portail a velos et le panneau redevient le bon choix, sans qu'un seul chiffre change. Verrou experientiel sur les cinq sources, cinq releves compares aux vraies valeurs du banc. QCM 30 q / 90 refutations (C7.4 x20, C3.1 x10), lexique 30 notions, deux syntheses, fiche, matrice de 16 notions, tests reels 34/34 et 26/26 avec scripts livres.";Aucune mesure reelle : courants constructeur usuels et capacites du commerce, la version A (multimetre en serie) les remplace par des mesures et ce sont elles qui font foi. Le banc ignore l'eclairement interieur, ce qui est exactement le ressort de l'activite 3. Le vieillissement des piles n'est pas modelise.;Listes deroulantes, corrections depliables, version C entierement sans ecran, encadre de securite TBT (5 V, adaptateur USB scelle jamais ouvert). Les trois boites alert() du gabarit de QCM sont remplacees par un bandeau aria-live (regle d'or n°188).;Banc d'energie original (HTML + JS, CC0). Aucun media tiers.;;COMPLET ET VALIDABLE;
5e_C7.5;5e;C7;3;Assembler les constituants fournis pour réaliser un prototype.;D2, D3, D4;theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.5;13;oui;oui;non;oui;oui;oui;oui;oui;Lot « L'eclairage du preau » : 2 seances de 55 min pour 95 min d'activites, ETABLI GROVE original integre a la page — l'eleve place chaque constituant sur un port et l'etabli ne repond jamais « ca ne marche pas » : il repond POURQUOI, du plus grossier au plus fin, comme un depanneur. Le mot du code est FOURNIS : en 5e on ne choisit pas, on place. Le geste qui porte la seance est l'activite 2 — RETIRER un constituant d'un montage qui marchait et lire les quatre pannes differentes que cela produit (regle d'or n°213). Le cas le plus instructif est le capteur sur A1 quand le programme lit A0 : rien ne chauffe, rien ne fume, et rien ne marche. Cinq verrous experientiels. QCM 30 q / 90 refutations (C7.5 x20, C4.5 x10), lexique 30 notions, deux syntheses, fiche, matrice de 30 notions engendree depuis la banque, tests reels 39/39 et 32/32, scripts livres.;"Aucun assemblage reel : l'etabli simule, et la version A le fait avec la carte, le Base Shield et deux modules Grove — c'est elle qui fait foi. Le programme est donne, charge et lu, jamais modifie : le modifier releve de C6.2. Le catalogue est reduit au strict necessaire ; choisir entre plusieurs constituants est le travail de la 3e. Le budget de courant est affiche, pas travaille — il devient une contrainte en 4e.";Listes deroulantes, corrections depliables, version C entierement debranchee (quatre eleves tiennent les quatre fonctions), encadre de securite TBT 5 V verifie par un test. Aucune boite modale : les messages passent par un bandeau aria-live (regle d'or n°188).;Etabli Grove original (HTML + JS, CC0). Aucun media tiers.;;COMPLET ET VALIDABLE;
5e_C7.6;5e;C7;3;Mettre en œuvre les moyens pour réaliser une forme selon une procédure fournie.;D2, D3, D4;theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.6;10;non;oui;non;oui;oui;oui;oui;oui;Lot « Le dé » (Fable, 30/08/2026) — QCM 30 questions toutes étiquetées 5e_C7.6, 2 synthèses, fiche, matrice de 13 groupes, lexique de 30 notions, suite de 31 tests exécutés et verts. Le code n'était évalué NULLE PART dans le dépôt : il l'est maintenant. La séquence est le TP de l'atelier CAO, mutualisé entre les trois niveaux et non dupliqué ici — d'où le reclassement.;Reclassé par contrôle : le dossier ne porte pas séquence. Le geste est porté ailleurs (voir « atelier CAO — TP nº1 « Le dé », mutualisé entre les trois niveaux »). Aucun parcours hors connexion pour le geste de modélisation : Onshape n'a pas de mode hors ligne. Exception assumée à la règle de conception n°5 (décision du 30/08/2026, option a), désormais annoncée en tête de chaque TP de l'atelier. Le QCM, les synthèses et le lexique, eux, fonctionnent hors ligne et sans compte. Les images du TP ne sont pas toutes produites (limite déclarée de l'atelier).;Vérifiée : aucune boîte modale, corrections dépliables, deux synthèses séparées, lexique imprimable en noir et blanc, hors ligne intégral.;Aucun média propre : le lot n'ajoute aucune image, il accompagne le TP.;atelier CAO — TP nº1 « Le dé », mutualisé entre les trois niveaux;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;séquence
5e_C8.1;5e;C8;3;Utiliser une simulation fournie pour valider la tenue mécanique d’un matériau.;D1.3, D2, D4;theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/5e/5e_C8.1;14;oui;oui;non;oui;oui;oui;oui;oui;Lot « La patère du hall — ce que la simulation voyait » (Fable, 31/08/2026) — séquence 2 séances avec simulateur intégré hors ligne, QCM 30 q (20 sur le code, 10 sur 5e_C3.1), 2 synthèses, fiche, matrice, lexique, modèle de calcul `patere.py` et suite de 39 + 32 tests exécutés et verts. Le modèle reproduit EXACTEMENT les cinq charges de rupture relevées au banc de 5e_C8.2 (41, 51, 53, 194, 408 kg), puis change de question et compare à la limite élastique : un seul matériau change de camp, le bois (3,4 sur la rupture, 2,1 sur l'élastique).;Aucune manipulation d'objet réel sur le parcours 🅱 : le geste sur la matière est celui de 5e_C8.2, dont ce lot est la suite. Fatigue et vieillissement hors modèle — déclaré à l'élève dans la synthèse, pas tu.;Vérifiée : labels sur tous les champs, title/desc sur le SVG du crochet, signalement non chromatique (mots « retenu »/« écarté »), hors ligne intégral.;1 SVG original CC0 écrit pour le lot — le crochet vu de côté, avec la contrainte peinte en dégradé et sa valeur en clair.;;COMPLET ET VALIDABLE;
5e_C8.2;5e;C8;3;Mettre en œuvre un protocole de test fourni pour valider la tenue mécanique d’un matériau.;D1.3, D2, D3, D4;theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/5e/5e_C8.2;11;oui;oui;non;oui;oui;oui;oui;oui;Lot « La patère du hall — éprouver un matériau » : 2 séances de 55 min, banc d'essai de traction ORIGINAL intégré à la page (cinq matériaux, éprouvette normalisée de 2 x 5 mm, charge par paliers, rupture), deux verrous expérientiels — le vérificateur de l'activité 2 compare les cinq relevés aux vraies valeurs du banc, donc un chiffre recopié ou inventé est refusé, ce qui est le coeur du code : en C8.2 on evalue la mise en oeuvre, pas le nombre. QCM 30 q / 90 refutations (C8.2 x20, C3.1 x10), lexique 30 notions, deux syntheses, fiche, matrice, rapport de tests reels 14/14 et 17/17.;Aucun essai physique : le banc est une simulation, et la page le dit a l'eleve (une question du QCM porte precisement la-dessus). La version A renvoie au « laboratoire des materiaux » du Reseau National Technologie College (eduscol STI, gratuit, sans compte, CC BY-NC-SA 3.0) sans en faire un prerequis.;Listes deroulantes, corrections depliables, version C entierement sans ecran, figure du banc dotee de title et desc.;Banc d'essai SVG original (CC0). Aucun media tiers.;;COMPLET ET VALIDABLE;
5e_C8.3;5e;C8;3;Vérifier le comportement et les performances d’un objet technique en suivant un protocole fourni.;D1.3, D2, D4, D5;theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/5e/5e_C8.3;1;non;non;non;non;non;non;non;non;Porté par le mini-projet d'objet de 5e (5e_C7.1) : vérifier le comportement d'un objet en suivant un protocole fourni. Le README de 5e_C8.1 documente déjà cette mutualisation pour le code voisin.;Aucune. Dossier squelette, README pointeur à écrire.;s.o.;s.o.;5e_C7.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C9.1;5e;C9;3;Analyser un programme simple fourni et tester s’il répond au besoin ou au problème posé.;D1.3, D2, D4;theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/5e/5e_C9.1;14;oui;oui;oui;oui;oui;oui;oui;oui;Atelier « La boîte étiquetée » (Arc variables, marche 5e — le compteur du Cyclone de Coney Island) : 3 séances / 5 activités, simulateur de mémoire (verrou 4 étapes), prédire→tester→reporter sur éditeur Vittascience EMBARQUÉ, banc de tests du programme FOURNI (bug des descendus), modification ciblée + barrière commandée (banc 3 tests, cas limite zéro), QCM 30 q (10/10/10, 3 illustrées), synthèses, fiche, matrice, 2 SVG CC0, photo Coney mutualisée avec l'atelier 3e.;;;;;COMPLET ET VALIDABLE;
5e_C9.2;5e;C9;3;Modifier un programme fourni pour répondre au besoin ou à un problème posé.;D1.3, D2, D4;theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/5e/5e_C9.2;1;non;non;non;non;non;non;non;non;Modifier le programme fourni : séance 3 (activité 5 ①) de l'atelier « La boîte étiquetée » — README pointeur.;;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
5e_C9.3;5e;C9;3;Réaliser et mettre au point un programme simple commandant un OST.;D1.3, D2, D4;theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/5e/5e_C9.3;1;non;non;non;non;non;non;non;non;Réaliser et mettre au point la barrière commandée : séance 3 (activité 5 ②) de l'atelier « La boîte étiquetée » — README pointeur.;;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C1.1;4e;C1;1;Mettre en relation les OST avec leurs usages.;D4, D5;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.1;20;oui;oui;non;oui;oui;oui;oui;oui;Lot « Tsinghua : concevoir avant de connecter » (Fable, 09/08/2026), REFONTE — 4 séances portant 4e_C1.1 à C1.3, QCM 30 q dont 6 illustrées, 2 synthèses, fiche, matrice, 2 corrigés graphiques CC0, suite de 42 tests exécutés et verts. SEUL LOT DU DÉPÔT bâti sur des données réelles et sourcées (ministère de l'Intérieur, JRC/EFFIS, ADEME). Mesure de température au parcours obligatoire (règle n°58).;Aucune donnée n'est produite par les élèves sauf la température. Les chiffres sont datés de juillet 2026 et vieilliront — c'est déclaré, et posé comme un prolongement possible plutôt que comme un défaut.;Vérifiée : étiquettes, alternatives, signalement non chromatique, title/desc sur les SVG, hors ligne intégral.;2 SVG originaux CC0 (1 874 et 1 529 car. de description). Aucune photographie.;;COMPLET ET VALIDABLE;
4e_C1.2;4e;C1;1;Identifier les avantages et les inconvénients associés aux évolutions technologiques et informatiques.;D3, D4, D5;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.2;1;non;non;non;non;non;non;non;non;Travaillé en séance 3 du lot Tsinghua : quatre équivalences et leurs périmètres, puis les deux faces d'une évolution technique. 9 questions au QCM.;Aucune.;s.o.;s.o.;4e_C1.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C1.3;4e;C1;1;Justifier l’évolution d’un OST pour répondre à l’évolution des besoins.;D3, D4, D5;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.3;1;non;non;non;non;non;non;non;non;Travaillé en séance 4 du lot Tsinghua : cinq exigences vérifiables, sans nommer aucun composant, et la garde humaine comme exigence. 9 questions au QCM.;Aucune.;s.o.;s.o.;4e_C1.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C1.4;4e;C1;1;Identifier et appliquer les règles pour un usage raisonné des objets communicants et des environnements numériques (propriété intellectuelle, identité numérique, témoins de connexion, géolocalisation).;D1.3, D2, D3, D4;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.4;9;oui;oui;non;oui;oui;oui;?;oui;Séquence cybersécurité V16 (PWA, accessibilité, tests intégrés, 120 Ko) + activité bonus 2FA + QCM 24 q + README de traçabilité soigné.;"L'activité bonus référence images/tab_key.png et images/indentation_error.png : le premier est en fait dans _ressources-communes/Images/Ressources transversales/touche-tabulation.png, le second n'existe nulle part dans le dépôt (lien cassé) ; pas de grille LSU ni de différenciation formalisées ; pas de version professeur/inspection séparée.";Bonne (V16 annoncée accessible) — à contre-vérifier au clavier.;"Illustrations majoritairement inline ; sources non consignées.";;EXISTANT À AMÉLIORER;
4e_C2.1;4e;C2;1;Décrire l’expérience de l’utilisateur (ressenti et facilité d’usage) d’un OST en partant du langage naturel (texte, croquis) pour aboutir aux schémas, graphiques, algorithmes.;D1.3, D4, D5;theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/4e/4e_C2.1;21;oui;oui;oui;oui;oui;oui;oui;oui;Lot « Hangzhou — ce que vit l'usager devant la borne » (08/08/2026) : 3 séances de 55 min, 4 activités + billet sans note, 12 verbatims et 150 relevés simulés, 3 SVG originaux, QCM de 30 questions dont 5 illustrées, 2 synthèses, fiche, matrice de 31 notions, 60 tests Playwright tous passés. Le déroulé est dicté par le référentiel : 4e_C2.1 impose d'aller du langage naturel aux schémas, graphiques et algorithmes — la séquence fait parcourir ce trajet, elle ne le décrit pas.;Aucune : 8 règles mécanisables au vert. PREMIÈRE APPLICATION des règles n°43 étendue (le Bonus a son corrigé), n°44 (aucun sigle ni bouton nu) et n°45 (l'entraînement s'ouvre sur ce qui a été fait). Le QCM hérité qcm_fonctionnement_objet.html (25 questions, autre auteur) n'a pas été modifié : il est référencé comme ressource complémentaire, avec sa portée dite — il déborde sur les codes C9. Données simulées annoncées comme telles.;Champs étiquetés, alternatives longues sur les trois figures, 8 versions étayées pour 8 productions écrites, infobulle sur chaque badge et chaque bouton PLUS une légende en clair (une infobulle ne s'ouvre pas au doigt), aucune ressource distante (n°40). Non vérifiés donc non déclarés conformes : impression A4, lecteur d'écran, zoom 200 %, mobile réel.;3 SVG originaux CC0. Le troisième est un CORRIGÉ, présent seulement dans la correction repliée de l'activité 2 : le graphique est ce que l'élève doit produire, mais celui qui travaille seul doit pouvoir se corriger (n°43).;;COMPLET ET VALIDABLE;
4e_C2.2;4e;C2;1;Repérer et expliquer les contraintes, exigences prises en compte (sécurité, incidences environnementales, formes et fonctions, ergonomie, qualité, fiabilité) pour répondre aux attentes des utilisateurs.;D3, D4, D5;theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/4e/4e_C2.2;1;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Hangzhou du dossier 4e_C2.1 (séance 3 — écrire quatre exigences couvrant au moins trois des six familles du programme, chacune rattachée à un verbatim). 15 des 30 questions du QCM lui sont consacrées.;Voir 4e_C2.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C3.1;4e;C3;1;Identifier les caractéristiques à prendre en compte dans le choix d’un OST en vue de répondre à un besoin.;D3, D4, D5;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/4e/4e_C3.1;16;oui;oui;oui;oui;oui;oui;oui;oui;Lot « Hangzhou — quelle flotte de vélos pour la ville ? » (08/08/2026) : 4 séances de 55 min, 5 activités + billet sans note, 4 flottes simulées à 17 colonnes exploitées au tableur, QCM de 30 questions, 2 synthèses, fiche, matrice de 32 notions, 28 tests Playwright tous passés. Deuxième lot du C3, après Shanghai en 5e.;Aucune : 7 règles mécanisables au vert. La marche depuis la 5e est explicite et tenue : en 5e le cahier des charges et le protocole sont FOURNIS, en 4e l'élève les ÉCRIT et choisit les appareils de mesure. Données simulées annoncées comme telles, et bilan carbone présenté comme un ordre de grandeur et non une valeur exacte (règle n°27).;Champs étiquetés, alternatives longues, aucun défilement horizontal à 1280 ni à 390 px, 9 versions étayées pour 9 productions écrites. Aucune ressource distante (règle n°40). Non vérifiés donc non déclarés conformes : impression A4, contraste mesuré, lecteur d'écran réel, zoom 200 %.;"2 SVG originaux CC0 (du besoin aux caractéristiques ; à chaque grandeur son appareil).";;COMPLET ET VALIDABLE;
4e_C3.2;4e;C3;1;Comparer qualitativement et/ou quantitativement (incidences environnementales, bilan carbone, efficacité énergétique) plusieurs OST répondant au même besoin et arrêter un choix.;D1.3, D2, D3, D4, D5;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/4e/4e_C3.2;1;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Hangzhou du dossier 4e_C3.1 (séance 2 — comparer les incidences en les rapportant au service rendu, qualitatif compris).;Voir 4e_C3.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C3.3;4e;C3;1;Choisir les appareils de mesure à utiliser pour mesurer une performance d’un OST à partir d’un protocole donné.;D1.3, D2, D4;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/4e/4e_C3.3;1;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Hangzhou du dossier 4e_C3.1 (séance 3 — choisir les appareils de mesure et rédiger un protocole reproductible).;Voir 4e_C3.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C4.1;4e;C4;2;Identifier les constituants d’une chaîne d’énergie et les associer à leurs fonctions.;D2, D4, D5;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.1;23;oui;oui;oui;oui;oui;oui;oui;oui;Séquence « Le jardin connecté » (4 séances) couvrant l'îlot 4e_C4 entier (9 codes) : chaîne d'énergie et transformations (C4.1-C4.2), chaîne d'information, données téléversées et table structurée avec explorateur à verrou (C4.4-C4.6), réseau/IP fixe et simulateur de dépannage à verrou 3 pannes (C4.7-C4.9), forme et procédé (C4.3). QCM 30 q (7/10/10/3, 3 illustrées, réponses réparties 7/7/8/8), synthèses, matrice, 3 SVG CC0, rapport 21/21. Règle n°4 appliquée. L'ancien QCM « automatisation premium » reste en ressource complémentaire dans le dossier.;Aucune sur le lot. L'ancien QCM automatisation conserve son gabarit ${q.img} non résolu (consolidation post-Conseil).;Clavier, aria/alt, listes déroulantes exclusivement (DYS), reduced-motion, impression A4.;3 SVG originaux CC0 image-objet — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
4e_C4.2;4e;C4;2;Repérer les transformations d’énergie et les flux d’énergie au sein de l’OST.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.2;1;oui;oui;non;oui;oui;oui;oui;oui;ATELIER DÉDIÉ « Un Book Train pour la Schœlcher » (4e_C4.1·C4.2·C4.4, dossier 4e_C4.1_book-train) : analyse d'un système automatisé réel (New York Public Library) au service d'un projet martiniquais — diagramme fonctionnel, transformations d'énergie bloc par bloc, chaîne d'information, algorigramme normalisé construit dans draw.io, export justifié SVG/PNG et diaporama. QCM 30 q (10/10/10, 4 illustrées, réponses 8/7/8/7), synthèses élève/professeur, fiche, matrice, 2 SVG CC0 + sources .drawio modifiables, 32/32 tests. Lot ACHEVÉ le 08/08/2026 : la séquence existait seule depuis le 05/08, sans QCM ni synthèses. Aux règles d'or n°23 à n°34 (billet d'entrée sans note, mode essentiel, durées annoncées, versions étayées, étiquetage complet).;Reclassé par contrôle : le dossier ne porte pas séquence, QCM au gabarit maison, fiche pédagogique, matrice de couverture, synthèses, rapport de tests. Le geste est porté ailleurs (voir « 4e_C4.1 »). Aucune. Règle n°30 (tableau de bord des tâches) non applicable en l'état : écart assumé et signalé au rapport de tests. Complète la séance 1 du Jardin connecté (4e_C4.1).;Clavier, tous les champs étiquetés (label ou aria-label), SVG avec title/desc, listes déroulantes (DYS), mode essentiel, impression A4.;"2 SVG originaux CC0 + sources .drawio + bibliothèque de formes ; schéma d'ensemble assumé comme généré par IA puis vérifié et corrigé par l'enseignant — SOURCES_MEDIAS.md complet.";4e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;séquence, QCM au gabarit maison, fiche pédagogique, matrice de couverture, synthèses, rapport de tests
4e_C4.3;4e;C4;2;Mettre en relation la forme d’une pièce avec le procédé de réalisation.;D3, D4, D5;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.3;1;non;non;non;non;non;non;non;non;README pointeur (séance 4 : la forme d'une pièce raconte son procédé).;Aucune.;s.o.;s.o.;4e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C4.4;4e;C4;2;Identifier les constituants de la chaîne d’information d’un objet réel et les associer à leur fonction.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.4;2;oui;oui;non;oui;oui;oui;oui;oui;"ATELIER DÉDIÉ « Un Book Train pour la Schœlcher » (4e_C4.1·C4.2·C4.4, dossier 4e_C4.1_book-train) : chaîne d'information du système (terminal, capteurs, destination programmée) puis traduction du traitement en algorigramme normalisé dans draw.io — 10 q de QCM dédiées, synthèses, fiche, matrice, 32/32 tests. Complète la séance 2 du Jardin connecté (4e_C4.1) ; le QCM eCall 40 q existant reste en entraînement complémentaire (rattachement confirmé le 21/07/2026).";Reclassé par contrôle : le dossier ne porte pas séquence, QCM au gabarit maison (un QCM hérité est présent : qcm_ecall_chaine_information.html), fiche pédagogique, matrice de couverture, synthèses, rapport de tests. Le geste est porté ailleurs (voir « 4e_C4.1 »). Aucune.;Clavier, tous les champs étiquetés, mode essentiel, versions étayées des productions écrites, impression A4.;2 SVG originaux CC0 + sources .drawio — SOURCES_MEDIAS.md complet.;4e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;séquence, QCM au gabarit maison (un QCM hérité est présent : qcm_ecall_chaine_information.html), fiche pédagogique, matrice de couverture, synthèses, rapport de tests
4e_C4.5;4e;C4;2;Décrire et analyser la transformation des données téléversées ou issues d’un OST.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.5;1;non;non;non;non;non;non;non;non;README pointeur (séance 2 : transformation des données téléversées).;Aucune.;s.o.;s.o.;4e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C4.6;4e;C4;2;Décrire et analyser la structuration d’une table de données qui permet une exploitation et une interprétation du comportement d’un OST.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.6;1;non;non;non;non;non;non;non;non;README pointeur (séance 2 : structure de table, explorateur avec verrou).;Aucune.;s.o.;s.o.;4e_C4.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C4.7;4e;C4;2;Paramétrer une adresse IP fixe pour ajouter un objet connecté à un réseau local.;D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.7;52;oui;oui;non;oui;oui;oui;oui;oui;"ATELIER DÉDIÉ « SOS serre » (C4.7·C4.8·C4.9, dossier principal), REFONTE v2 après audit pédagogique externe (08/08/2026) : 4 séances de 55 min, passeport réseau d'entrée sans note, mode essentiel, conception du plan d'adressage par l'élève (règle n°22), adresse fixe passerelle comprise prouvée par le ping vers l'objet ajouté, clinique du réseau et intervention réelle sur TROIS fichiers .pkt en panne (adressage, liaison, masque) réellement fabriqués et vérifiés au ping, validation par simulation, défi sans tutoriel ; QCM 30 q (10/10/10), 14 SVG CC0 reconstitués de sessions Packet Tracer 8.2 réelles, 5 fichiers .pkt fournis (départ, maître, 3 pannes), 54/54 tests Playwright ; complète la séance 3 du Jardin connecté (4e_C4.1) + QCM XXL réseaux conservé en entraînement.";"Héritées du QCM XXL existant : licences des images *_hd.jpg non documentées — LICENCE À VÉRIFIER (consolidation post-Conseil) ; doc3_schema_parcours.png (2,6 Mo) à trier.";Clavier, aria/alt, listes déroulantes exclusivement (DYS), reduced-motion (clinique comprise), impression A4.;14 SVG originaux CC0 + 5 fichiers .pkt — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
4e_C4.8;4e;C4;2;Résoudre des problèmes pour assurer la communication entre les différents terminaux dans un réseau informatique (simulation ou réseau local déconnecté du réseau pédagogique).;D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.8;1;non;oui;non;non;non;oui;non;non;README pointeur double : atelier dédié « SOS serre » (4e_C4.7, act. 2 et 4 + intervention réelle : banc d'essai, panne « mauvaise rue » et trois fichiers .pkt en panne à diagnostiquer) + séance 3 du Jardin connecté (4e_C4.1).;Aucune.;s.o.;s.o.;4e_C4.7;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C4.9;4e;C4;2;Compléter une simulation fournie pour valider le comportement d’un réseau informatique.;D2, D4;theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.9;1;non;oui;non;non;non;oui;non;non;README pointeur double : atelier dédié « SOS serre » (4e_C4.7, act. 5 et défi sans tutoriel : simulation fournie complétée, validée et test choisi par l'élève) + séance 3 du Jardin connecté (4e_C4.1).;Aucune.;s.o.;s.o.;4e_C4.7;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C5.1;4e;C5;2;Proposer un protocole permettant de vérifier l’origine d’un dysfonctionnement.;D1.3, D2, D4;theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/4e/4e_C5.1;15;oui;oui;oui;oui;oui;oui;oui;oui;"Séquence « SOS jardin connecté » (3 séances) ouvrant l'îlot C5 de 4e sur l'objet-fil du LOT 09 : le protocole de diagnostic est PROPOSÉ par l'élève (6 tests ordonnés puis exécutés au poste de diagnostic, verrou 6/6, capteur menteur démasqué par le test discriminant mesure/réalité), remplacement en autonomie SANS protocole affiché (vignettes non numérotées, simulateur à verrou, photo + comparaison + test final à l'eau), choix multicritère du procédé (impression 3D PETG, gamme, jeu fonctionnel 10,2/10,0), réinvestissement lampe du CDI (frontière TBT/secteur). Versions A/B/C, QCM 30 q (10/10/10, 3 illustrées, réponses réparties 8/7/7/8, graine 42), synthèses, fiche, matrice, 3 SVG CC0, rapport 23/23. Règles d'or n°4 appliquée ; _outils/fix_r.js recréé et commité. La panne « capteur qui ment » prépare le LOT C6 (corriger le programme).";Aucune. Version A en très basse tension uniquement — le secteur est explicitement interdit (y compris au réinvestissement).;Clavier, aria/alt, listes déroulantes exclusivement (DYS), reduced-motion, impression A4.;3 SVG originaux CC0 image-objet — SOURCES_MEDIAS.md complet.;;COMPLET ET VALIDABLE;
4e_C5.2;4e;C5;2;Remplacer une pièce défectueuse sans protocole fourni (la pièce de remplacement étant fournie).;D2, D3, D4;theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/4e/4e_C5.2;1;non;non;non;non;non;non;non;non;"README pointeur (séance 2 : remplacement en autonomie sans protocole affiché, simulateur avec verrou ; 10 questions dédiées).";Aucune.;s.o.;s.o.;4e_C5.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
4e_C5.3;4e;C5;2;Choisir les procédés de réalisation et les mettre en œuvre.;D2, D3, D4;theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/4e/4e_C5.3;1;non;non;non;non;non;non;non;non;"README pointeur (séance 3 : choix multicritère des procédés, gamme, jeu fonctionnel, sécurité atelier ; 10 questions dédiées).";Aucune.;s.o.;s.o.;4e_C5.1;COUVERT PAR UNE SÉQUENCE MUTUALISÉE;
