"catégorie du classeur";"dépôt initial";"type détecté";"niveau de risque";"décision";"justification";"alternative recommandée"
"GEII";"YosysHQ/sby";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"The-OpenROAD-Project/OpenLane";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"renode/renode";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"MarlinFirmware/Marlin";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"Éducation";"moodle/moodle";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"openedx/edx-platform";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"instructure/canvas-lms";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"chamilo/chamilo-lms";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"sakaiproject/sakai";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"h5p/h5p-php-library";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"LumiEducation/Lumi";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jupyter/notebook";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jupyterlab/jupyterlab";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jupyter/nbgrader";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jupyterhub/jupyterhub";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jupyterhub/binderhub";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"freeCodeCamp/freeCodeCamp";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"exercism/exercism";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"codecombat/codecombat";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"scratchfoundation/scratch-gui";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jmoenig/Snap";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"google/blockly";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"microbit-foundation/microbit-python-editor-v3";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"microsoft/pxt";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"mit-cml/appinventor-sources";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"learningequality/kolibri";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"oppia/oppia";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"moodlebox/moodlebox";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"bigbluebutton/bigbluebutton";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"jitsi/jitsi-meet";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"hedgedoc/hedgedoc";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"BookStackApp/BookStack";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"requarks/wiki";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"facebook/docusaurus";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"mkdocs/mkdocs";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"quarto-dev/quarto-cli";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"ManimCommunity/manim";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"sagemath/sage";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"sympy/sympy";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"scilab/scilab";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"gnu-octave/octave";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"phetsims";"NON_PERTINENT";"D — refusé";"REFUSE_NON_DEPOT";"La ligne pointe vers une organisation GitHub, pas vers un dépôt installable.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"CircuitVerse/CircuitVerse";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"logisim-evolution/logisim-evolution";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"gcompris/GCompris-qt";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"sugarlabs/sugar";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"moodlehq/moodle-docker";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"OpenBoard-org/OpenBoard";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"ankitects/anki";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"xournalpp/xournalpp";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"zotero/zotero";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugin officiel Zotero 0.1.2 disponible, validation B"
"Éducation";"openstax";"NON_PERTINENT";"D — refusé";"REFUSE_NON_DEPOT";"La ligne pointe vers une organisation GitHub, pas vers un dépôt installable.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Éducation";"github-classroom/classroom";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin"
"Conseillés pour vos projets";"ollama/ollama";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"ggerganov/llama.cpp";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"open-webui/open-webui";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"Mintplex-Labs/anything-llm";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"mudler/LocalAI";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"OpenInterpreter/open-interpreter";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"Aider-AI/aider";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app"
"Conseillés pour vos projets";"continuedev/continue";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app"
"Conseillés pour vos projets";"sourcegraph/cody";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app"
"Conseillés pour vos projets";"paperless-ngx/paperless-ngx";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"Stirling-Tools/Stirling-PDF";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins PDF/documents officiels installés"
"Conseillés pour vos projets";"jgm/pandoc";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins PDF/documents officiels installés"
"Conseillés pour vos projets";"LibreOffice/core";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins PDF/documents officiels installés"
"Conseillés pour vos projets";"GNOME/gimp";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"inkscape/inkscape";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"obsproject/obs-studio";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"mltframework/shotcut";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"KDE/kdenlive";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"yt-dlp/yt-dlp";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"FFmpeg/FFmpeg";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"openai/whisper";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"SYSTRAN/faster-whisper";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"jianfch/stable-ts";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"SubtitleEdit/subtitleedit";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"pengchujin/jzsub";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"openscad/openscad";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"FreeCAD/FreeCAD";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"blender/blender";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"CadQuery/cadquery";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"jscad/OpenJSCAD.org";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"openpnp/openpnp";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"Klipper3d/klipper";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"gnea/grbl";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"cncjs/cncjs";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"OctoPrint/OctoPrint";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills cad/gcode/bambu-labs/implicit-cad déjà installés"
"Conseillés pour vos projets";"veyon/veyon";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"Ylianst/MeshCentral";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"rustdesk/rustdesk";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
